lon,lat,period,zone
35.85858897,32.82507927,Early Pliocene,1
35.85759629,32.8246966,Early Pliocene,1
35.85710321,32.82459301,Early Pliocene,1
35.8555883,32.82422857,Early Pliocene,1
35.85404334,32.82381904,Early Pliocene,1
35.85303692,32.82359055,Early Pliocene,1
35.85218529,32.82269798,Early Pliocene,1
35.85132072,32.82146986,Early Pliocene,1
35.8505268,32.82068674,Early Pliocene,1
35.84945405,32.81988326,Early Pliocene,1
35.84885195,32.81912582,Early Pliocene,1
35.84798615,32.81821716,Early Pliocene,1
35.84789161,32.8177266,Early Pliocene,1
35.84716959,32.81643119,Early Pliocene,1
35.84610754,32.81483739,Early Pliocene,1
35.84538397,32.81369224,Early Pliocene,1
35.84472066,32.81281525,Early Pliocene,1
35.8440072,32.8113808,Early Pliocene,1
35.84371998,32.81102762,Early Pliocene,1
35.84287123,32.81014806,Early Pliocene,1
35.84201942,32.80926506,Early Pliocene,1
35.84103777,32.80782038,Early Pliocene,1
35.84047486,32.80744489,Early Pliocene,1
35.8394203,32.8058489,Early Pliocene,1
35.83860481,32.80519267,Early Pliocene,1
35.83824132,32.80453431,Early Pliocene,1
35.83736769,32.80375718,Early Pliocene,1
35.83672627,32.80291555,Early Pliocene,1
35.83510447,32.80207182,Early Pliocene,1
35.83340569,32.80049081,Early Pliocene,1
35.83125692,32.79803726,Early Pliocene,1
35.83035892,32.79706071,Early Pliocene,1
35.82970488,32.79604169,Early Pliocene,1
35.82880176,32.79504996,Early Pliocene,1
35.82793364,32.79428358,Early Pliocene,1
35.82730243,32.79345171,Early Pliocene,1
35.82644468,32.79283364,Early Pliocene,1
35.8242518,32.79159561,Early Pliocene,1
35.82332633,32.79050292,Early Pliocene,1
35.82196769,32.7898028,Early Pliocene,1
35.82086652,32.78912335,Early Pliocene,1
35.82003835,32.78861232,Early Pliocene,1
35.81893103,32.78792904,Early Pliocene,1
35.81814925,32.78777795,Early Pliocene,1
35.81733689,32.78739519,Early Pliocene,1
35.81646773,32.78658198,Early Pliocene,1
35.81563219,32.78602256,Early Pliocene,1
35.8139034,32.7844235,Early Pliocene,1
35.81304249,32.7836235,Early Pliocene,1
35.81141093,32.78268208,Early Pliocene,1
35.8108548,32.78234212,Early Pliocene,1
35.80964972,32.78145135,Early Pliocene,1
35.80881023,32.78089725,Early Pliocene,1
35.80596494,32.77992559,Early Pliocene,1
35.80410025,32.77956764,Early Pliocene,1
35.80278223,32.77985452,Early Pliocene,1
35.80061445,32.77955736,Early Pliocene,1
35.80010521,32.77934745,Early Pliocene,1
35.7990924,32.77866971,Early Pliocene,1
35.79730824,32.77787219,Early Pliocene,1
35.79515645,32.77728384,Early Pliocene,1
35.79428896,32.77701057,Early Pliocene,1
35.79283993,32.77686596,Early Pliocene,1
35.79197001,32.77657468,Early Pliocene,1
35.79006446,32.77591681,Early Pliocene,1
35.7892467,32.77580531,Early Pliocene,1
35.78761251,32.77533833,Early Pliocene,1
35.78736509,32.77371409,Early Pliocene,1
35.78737702,32.77277725,Early Pliocene,1
35.78763339,32.77023755,Early Pliocene,1
35.78751584,32.76851646,Early Pliocene,1
35.78745742,32.76766133,Early Pliocene,1
35.78656311,32.7660538,Early Pliocene,1
35.78597406,32.76505709,Early Pliocene,1
35.78460332,32.76393818,Early Pliocene,1
35.78406056,32.76357512,Early Pliocene,1
35.78377779,32.76318343,Early Pliocene,1
35.78223715,32.76254363,Early Pliocene,1
35.78081641,32.76207304,Early Pliocene,1
35.78095009,32.76118763,Early Pliocene,1
35.78145139,32.76008271,Early Pliocene,1
35.78196821,32.75919269,Early Pliocene,1
35.78287675,32.75869232,Early Pliocene,1
35.78359222,32.75862341,Early Pliocene,1
35.78458622,32.75873294,Early Pliocene,1
35.78585826,32.75902092,Early Pliocene,1
35.78716835,32.75951,Early Pliocene,1
35.78826189,32.76022619,Early Pliocene,1
35.79020544,32.76088456,Early Pliocene,1
35.79165148,32.76117581,Early Pliocene,1
35.79249674,32.76170856,Early Pliocene,1
35.7935975,32.76221037,Early Pliocene,1
35.79443551,32.76274133,Early Pliocene,1
35.7959732,32.76299654,Early Pliocene,1
35.79779844,32.76341884,Early Pliocene,1
35.80029347,32.76358106,Early Pliocene,1
35.80178672,32.76363467,Early Pliocene,1
35.80231508,32.76377683,Early Pliocene,1
35.80358678,32.76405977,Early Pliocene,1
35.8055826,32.76427298,Early Pliocene,1
35.80703695,32.76412858,Early Pliocene,1
35.80800617,32.76403233,Early Pliocene,1
35.80915932,32.76351062,Early Pliocene,1
35.8099815,32.76241629,Early Pliocene,1
35.81037981,32.7617655,Early Pliocene,1
35.81047824,32.76073375,Early Pliocene,1
35.81033176,32.75972747,Early Pliocene,1
35.81021405,32.7589202,Early Pliocene,1
35.80979279,32.75772908,Early Pliocene,1
35.80921504,32.75716776,Early Pliocene,1
35.80753166,32.75588673,Early Pliocene,1
35.80737142,32.75486492,Early Pliocene,1
35.80721318,32.7538374,Early Pliocene,1
35.80784612,32.75294037,Early Pliocene,1
35.80828319,32.75248066,Early Pliocene,1
35.81036116,32.75123888,Early Pliocene,1
35.81104217,32.75075724,Early Pliocene,1
35.81218518,32.75002452,Early Pliocene,1
35.81405971,32.74922476,Early Pliocene,1
35.81427604,32.74899396,Early Pliocene,1
35.81590318,32.74821372,Early Pliocene,1
35.81752466,32.74744072,Early Pliocene,1
35.81840845,32.74674344,Early Pliocene,1
35.81907645,32.74627283,Early Pliocene,1
35.81928909,32.74604863,Early Pliocene,1
35.82040721,32.74533529,Early Pliocene,1
35.82150609,32.74440608,Early Pliocene,1
35.82316677,32.74381465,Early Pliocene,1
35.82458797,32.74324689,Early Pliocene,1
35.8264173,32.74247399,Early Pliocene,1
35.82798983,32.74150637,Early Pliocene,1
35.82868799,32.74123316,Early Pliocene,1
35.82984967,32.7407041,Early Pliocene,1
35.83099508,32.73996251,Early Pliocene,1
35.83123706,32.73993943,Early Pliocene,1
35.83290979,32.73956891,Early Pliocene,1
35.83386309,32.73926334,Early Pliocene,1
35.83505865,32.73893471,Early Pliocene,1
35.83576611,32.73865531,Early Pliocene,1
35.83696144,32.73832809,Early Pliocene,1
35.83796287,32.73821428,Early Pliocene,1
35.83882583,32.7385048,Early Pliocene,1
35.83983951,32.73893783,Early Pliocene,1
35.84125701,32.74017206,Early Pliocene,1
35.84209284,32.74080713,Early Pliocene,1
35.84250302,32.74101286,Early Pliocene,1
35.8437037,32.74198331,Early Pliocene,1
35.84415901,32.74237629,Early Pliocene,1
35.84605594,32.74405862,Early Pliocene,1
35.84709429,32.74457743,Early Pliocene,1
35.84859976,32.74484218,Early Pliocene,1
35.84934258,32.74497683,Early Pliocene,1
35.85006026,32.74490764,Early Pliocene,1
35.85175135,32.74474215,Early Pliocene,1
35.85288914,32.74463959,Early Pliocene,1
35.85493996,32.74445321,Early Pliocene,1
35.85631457,32.74411876,Early Pliocene,1
35.85742154,32.7436063,Early Pliocene,1
35.85992678,32.74275488,Early Pliocene,1
35.86147514,32.74178998,Early Pliocene,1
35.86300526,32.74062188,Early Pliocene,1
35.86459117,32.73985626,Early Pliocene,1
35.86668989,32.73861672,Early Pliocene,1
35.86932521,32.73738418,Early Pliocene,1
35.87062685,32.73724088,Early Pliocene,1
35.87211299,32.73661876,Early Pliocene,1
35.87429772,32.73614882,Early Pliocene,1
35.87555572,32.73554323,Early Pliocene,1
